0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
B11020,文庫,9784102183410,列石の暗号上巻,サム・クリスター,新潮社,20130301,670,2401,聖蹟桜ヶ丘店,20130308,20130311,3,2,348
B11030,文庫,9784041245255,海と毒薬　　　　　　　　　　　,遠藤　周作　　　　　,ＫＡＤＯＫＡＷ,20040601,362,2401,聖蹟桜ヶ丘店,20130621,20130722,14,2,2604
B11030,文庫,9784042982258,運のいい人の法則　　　　　　　,Ｒ．ワイズマン博士　,ＫＡＤＯＫＡＷ,20111001,720,2401,聖蹟桜ヶ丘店,20120818,20131002,7,2,423
B11030,文庫,9784043015153,若き人々への言葉　　　　　　　,ニーチェ　　　　　　,ＫＡＤＯＫＡＷ,19840101,476,2401,聖蹟桜ヶ丘店,20130807,20130730,6,2,1029
B11030,文庫,9784043520015,兎の眼　　　　　　　　　　　　,灰谷　健次郎　　　　,ＫＡＤＯＫＡＷ,19980301,571,2401,聖蹟桜ヶ丘店,20130621,20130819,20,2,5415
B11040,文庫,9784150503734,ポアンカレ予想　世紀の謎を掛け,Ｇ．Ｇ．スピーロ　著,早川書房　　　,20110401,900,2401,聖蹟桜ヶ丘店,20120118,20120530,7,2,686
B11040,文庫,9784167736033,ここがおかしい日本の社会保障　,山田　昌弘　著　　　,文藝春秋　　　,20121101,533,2401,聖蹟桜ヶ丘店,20130921,20130616,2,2,212
B11040,文庫,9784167812010,スリーピング・ドール　上　　　,Ｊ．ディーヴァー　著,文藝春秋　　　,20111101,740,2401,聖蹟桜ヶ丘店,20130921,20131010,10,2,1122
B11040,文庫,9784167812027,スリーピング・ドール　下　　　,Ｊ．ディーヴァー　著,文藝春秋　　　,20111101,740,2401,聖蹟桜ヶ丘店,20130802,20131010,10,2,1105
B11040,文庫,9784167812119,ソウル・コレクター　上　　　　,Ｊ．ディーヴァー　著,文藝春秋　　　,20121001,762,2401,聖蹟桜ヶ丘店,20130921,20130930,5,3,1031
B11040,文庫,9784167812126,ソウル・コレクター　下　　　　,Ｊ．ディーヴァー　著,文藝春秋　　　,20121001,762,2401,聖蹟桜ヶ丘店,20130921,20130930,7,3,1016
